History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 2023-05-30; Date To: 2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-05-30 00:00:00,Tuesday,70,20,37,0,5,0,75,0,0,0,73.68,736032.79,10514.75,0,23,36,102,620747.79,8276.64,115285,0,0,0,95
,Total (History),70,20,37,0,5,0,75,0,0,0,73.68,736032.79,10514.75,0,23,36,102,620747.79,8276.64,115285,0,0,0,95
,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31 00:00:00,Wednesday,62,43,24,1,3,0,48,13,5,0,56.88,628373.45,10135.06,0,20,21,132,567998.45,9311.45,60375,12075,0,0,109
2023-06-01 00:00:00,Thursday,48,61,14,2,2,0,26,16,3,7,42.48,435517.87,9073.29,0,28,17,106,349642.87,8324.83,85875,28625,0,0,113
2023-06-02 00:00:00,Friday,27,86,5,1,0,0,17,11,0,0,23.68,255083.23,9447.53,0,29,16,73,255083.23,9110.12,0,0,0,0,114
2023-06-03 00:00:00,Saturday,20,94,8,0,0,0,10,10,0,0,17.54,192615.26,9630.76,0,16,16,65,192615.26,9630.76,0,0,0,0,114
2023-06-04 00:00:00,Sunday,13,102,6,0,0,0,5,8,0,0,11.3,126953,9765.62,0,13,15,53,126953,9765.62,0,0,0,0,115
2023-06-05 00:00:00,Monday,24,92,14,0,0,0,7,11,0,6,20.69,221443,9226.79,0,3,14,29,176443,9802.39,45000,0,0,0,116
2023-06-06 00:00:00,Tuesday,19,97,5,0,0,0,6,13,0,0,16.38,187452.62,9865.93,0,10,14,25,187452.62,9865.93,0,0,0,0,116
2023-06-07 00:00:00,Wednesday,19,98,9,0,0,0,8,11,0,0,16.24,171462.62,9024.35,0,9,13,24,171462.62,9024.35,0,0,0,0,117
2023-06-08 00:00:00,Thursday,27,85,17,5,0,0,6,20,0,6,23.08,236426.48,8756.54,0,4,13,36,228926.48,8804.86,7500,0,0,0,117
2023-06-09 00:00:00,Friday,22,87,9,8,0,0,6,15,0,9,18.8,191557.66,8707.17,0,11,13,32,176557.66,8407.51,15000,0,0,0,117
2023-06-10 00:00:00,Saturday,68,48,54,5,0,0,9,12,45,7,56.2,564154.51,8296.39,0,11,9,82,211654.51,10078.79,352500,7833.33,0,0,121
2023-06-11 00:00:00,Sunday,55,66,1,0,0,0,4,6,45,0,45.45,426041.66,7746.21,0,19,9,58,88541.66,8854.17,337500,7500,0,0,121
2023-06-12 00:00:00,Monday,54,67,1,0,0,0,4,5,45,0,44.63,416875,7719.91,0,2,9,56,79375,8819.44,337500,7500,0,0,121
2023-06-13 00:00:00,Tuesday,58,63,4,0,0,0,6,7,45,0,47.93,452773.3,7806.44,0,0,9,61,115273.3,8867.18,337500,7500,0,0,121
2023-06-14 00:00:00,Wednesday,42,79,5,0,0,0,5,7,27,3,34.71,110625,2633.93,0,48,9,18,110625,9218.75,0,0,0,0,121
2023-06-15 00:00:00,Thursday,61,60,4,0,0,0,5,5,46,5,50.41,103775,1701.23,0,4,9,18,95275,9527.5,8500,184.78,0,0,121
2023-06-16 00:00:00,Friday,15,106,8,0,0,0,6,7,0,2,12.4,133472.14,8898.14,0,8,9,21,116472.14,8959.4,17000,0,0,0,121
2023-06-17 00:00:00,Saturday,21,99,9,1,0,0,6,10,0,6,17.36,186491.64,8880.55,0,2,9,30,135491.64,8468.23,51000,0,0,0,121
2023-06-18 00:00:00,Sunday,30,91,19,0,0,0,6,17,0,7,24.79,305468.05,10182.27,0,11,9,43,245968.05,10694.26,59500,0,0,0,121
2023-06-19 00:00:00,Monday,25,96,7,0,0,0,6,18,1,0,20.66,260020.91,10400.84,0,12,9,31,252878.05,10536.59,7142.86,7142.86,0,0,121
2023-06-20 00:00:00,Tuesday,30,91,18,0,0,0,3,16,6,5,24.79,421014.86,14033.83,0,14,9,41,335872,17677.47,85142.86,14190.48,0,0,121
2023-06-21 00:00:00,Wednesday,30,91,11,0,0,0,5,11,9,5,24.79,417660.42,13922.01,0,11,9,40,311088.98,19443.06,106571.44,11841.27,0,0,121
2023-06-22 00:00:00,Thursday,38,83,14,0,0,0,7,14,13,4,31.4,479127.72,12608.62,0,5,9,53,336841.98,16040.09,142285.74,10945.06,0,0,121
2023-06-23 00:00:00,Friday,22,99,3,0,0,0,6,8,4,4,18.18,351482.91,15976.5,0,19,9,36,273482.91,19534.49,78000,19500,0,0,121
2023-06-24 00:00:00,Saturday,9,112,2,0,0,0,2,7,0,0,7.44,220382.91,24486.99,0,15,9,13,220382.91,24486.99,0,0,0,0,121
2023-06-25 00:00:00,Sunday,10,111,4,0,0,0,2,8,0,0,8.26,236165.96,23616.6,0,3,9,15,236165.96,23616.6,0,0,0,0,121
2023-06-26 00:00:00,Monday,17,104,9,0,0,0,4,8,0,5,14.05,304444.87,17908.52,0,2,9,24,254444.87,21203.74,50000,0,0,0,121
2023-06-27 00:00:00,Tuesday,12,109,1,0,0,0,2,5,0,5,9.92,258875,21572.92,0,6,9,14,208875,29839.29,50000,0,0,0,121
2023-06-28 00:00:00,Wednesday,12,109,1,0,0,0,3,4,0,5,9.92,258895,21574.58,0,1,9,15,208895,29842.14,50000,0,0,0,121
2023-06-29 00:00:00,Thursday,11,110,1,0,0,0,2,4,0,5,9.09,249349.58,22668.14,0,2,9,14,199349.58,33224.93,50000,0,0,0,121
2023-06-30 00:00:00,Friday,9,113,3,0,0,0,1,3,0,5,7.38,79819.91,8868.88,0,5,8,11,29819.91,7454.98,50000,0,0,0,122
2023-07-01 00:00:00,Saturday,5,117,1,0,0,0,1,4,0,0,4.1,39819.91,7963.98,0,5,8,8,39819.91,7963.98,0,0,0,0,122
2023-07-02 00:00:00,Sunday,12,110,8,0,0,0,1,4,0,7,9.84,101319.91,8443.33,0,1,8,19,41819.91,8363.98,59500,0,0,0,122
2023-07-03 00:00:00,Monday,12,110,9,0,0,0,1,4,1,6,9.84,103675.84,8639.65,0,10,8,18,41175.84,8235.17,62500,62500,0,0,122
2023-07-04 00:00:00,Tuesday,11,111,0,0,0,0,1,3,1,6,9.02,93675.84,8515.99,0,1,8,16,31175.84,7793.96,62500,62500,0,0,122
2023-07-05 00:00:00,Wednesday,13,109,6,0,0,0,3,5,4,1,10.66,78362.78,6027.91,0,7,8,12,71219.92,8902.49,7142.86,1785.71,0,0,122
2023-07-06 00:00:00,Thursday,17,105,4,0,0,0,3,7,7,0,13.93,100362.78,5903.69,0,2,8,13,93219.92,9321.99,7142.86,1020.41,0,0,122
2023-07-07 00:00:00,Friday,9,113,1,0,0,0,3,6,0,0,7.38,83219.92,9246.66,0,3,8,12,83219.92,9246.66,0,0,0,0,122
2023-07-08 00:00:00,Saturday,6,116,3,0,0,0,3,3,0,0,4.92,52169.06,8694.84,0,6,8,6,52169.06,8694.84,0,0,0,0,122
2023-07-09 00:00:00,Sunday,11,111,6,0,0,0,2,9,0,0,9.02,106019.9,9638.17,0,1,8,13,106019.9,9638.17,0,0,0,0,122
2023-07-10 00:00:00,Monday,12,110,4,0,0,0,2,10,0,0,9.84,136450.42,11370.87,0,3,8,14,136450.42,11370.87,0,0,0,0,122
2023-07-11 00:00:00,Tuesday,14,108,5,0,0,0,2,12,0,0,11.48,160606.36,11471.88,0,3,8,20,160606.36,11471.88,0,0,0,0,122
2023-07-12 00:00:00,Wednesday,13,109,0,0,0,0,2,11,0,0,10.66,148106.36,11392.8,0,1,8,19,148106.36,11392.8,0,0,0,0,122
2023-07-13 00:00:00,Thursday,11,111,2,0,0,0,2,9,0,0,9.02,119725,10884.09,0,4,8,15,119725,10884.09,0,0,0,0,122
2023-07-14 00:00:00,Friday,4,118,1,0,0,0,2,2,0,0,3.28,32357,8089.25,0,8,8,4,32357,8089.25,0,0,0,0,122
2023-07-15 00:00:00,Saturday,4,118,2,0,0,0,3,1,0,0,3.28,34625.43,8656.36,0,2,8,5,34625.43,8656.36,0,0,0,0,122
2023-07-16 00:00:00,Sunday,7,115,3,0,0,0,3,4,0,0,5.74,62515.26,8930.75,0,0,8,11,62515.26,8930.75,0,0,0,0,122
2023-07-17 00:00:00,Monday,17,105,3,0,0,0,3,3,9,2,13.93,61963.2,3644.89,0,2,8,10,54820.34,9136.72,7142.86,793.65,0,0,122
2023-07-18 00:00:00,Tuesday,12,110,1,0,0,0,3,1,6,2,9.84,36150.85,3012.57,0,3,8,6,36150.85,9037.71,0,0,0,0,122
2023-07-19 00:00:00,Wednesday,11,111,2,0,0,0,1,2,6,2,9.02,23364.91,2124.08,0,3,8,7,23364.91,7788.3,0,0,0,0,122
2023-07-20 00:00:00,Thursday,6,116,3,0,0,0,1,3,1,1,4.92,49670,8278.33,0,3,8,6,29670,7417.5,20000,20000,0,0,122
2023-07-21 00:00:00,Friday,7,115,1,0,0,0,1,4,1,1,5.74,58170,8310,0,0,8,8,38170,7634,20000,20000,0,0,122
2023-07-22 00:00:00,Saturday,18,104,6,0,0,0,1,7,9,1,14.75,67812.85,3767.38,0,3,8,16,60670,7583.75,7142.85,793.65,0,0,122
2023-07-23 00:00:00,Sunday,21,101,6,0,0,0,1,11,7,2,17.21,98864.92,4707.85,0,1,8,26,98864.92,8238.74,0,0,0,0,122
2023-07-24 00:00:00,Monday,8,114,2,0,0,0,3,5,0,0,6.56,73092.03,9136.5,0,8,8,15,73092.03,9136.5,0,0,0,0,122
2023-07-25 00:00:00,Tuesday,3,119,1,0,0,0,2,1,0,0,2.46,30118.03,10039.34,0,6,8,5,30118.03,10039.34,0,0,0,0,122
2023-07-26 00:00:00,Wednesday,4,118,2,0,0,0,2,2,0,0,3.28,33342.03,8335.51,0,1,8,6,33342.03,8335.51,0,0,0,0,122
2023-07-27 00:00:00,Thursday,8,114,4,0,0,0,2,6,0,0,6.56,65342.03,8167.75,0,0,8,14,65342.03,8167.75,0,0,0,0,122
2023-07-28 00:00:00,Friday,17,105,5,0,0,0,2,9,4,2,13.93,96812.95,5694.88,0,0,8,22,96812.95,8801.18,0,0,0,0,122
2023-07-29 00:00:00,Saturday,17,105,7,0,0,0,1,10,4,2,13.93,96595.92,5682.11,0,7,8,20,96595.92,8781.45,0,0,0,0,122
2023-07-30 00:00:00,Sunday,22,100,7,0,0,0,1,15,4,2,18.03,140901,6404.59,0,2,8,29,140901,8806.31,0,0,0,0,122
2023-07-31 00:00:00,Monday,10,113,1,0,0,0,1,9,0,0,8.13,82819.92,8281.99,0,9,7,17,82819.92,8281.99,0,0,0,0,123
2023-08-01 00:00:00,Tuesday,10,113,4,0,0,0,1,9,0,0,8.13,88870.76,8887.08,0,4,7,19,88870.76,8887.08,0,0,0,0,123
2023-08-02 00:00:00,Wednesday,5,116,4,2,0,0,1,6,0,0,4.07,40514.84,8102.97,0,7,7,12,40514.84,5787.83,0,0,0,0,123
2023-08-03 00:00:00,Thursday,2,119,0,2,0,0,1,3,0,0,1.63,13125,6562.5,0,3,7,6,13125,3281.25,0,0,0,0,123
2023-08-04 00:00:00,Friday,5,118,2,0,0,0,1,2,1,1,4.07,33125,6625,0,2,7,7,26125,8708.33,7000,7000,0,0,123
2023-08-05 00:00:00,Saturday,21,102,8,0,0,0,1,8,10,2,17.07,90318.69,4300.89,0,1,7,20,76175.84,8463.98,14142.85,1414.29,0,0,123
2023-08-06 00:00:00,Sunday,25,98,8,0,0,0,1,12,10,2,20.33,119700.05,4788,0,4,7,27,112557.2,8658.25,7142.85,714.28,0,0,123
2023-08-07 00:00:00,Monday,15,108,3,0,0,0,1,12,1,1,12.2,110625,7375,0,4,7,24,110625,8509.62,0,0,0,0,123
2023-08-08 00:00:00,Tuesday,14,109,4,0,0,0,2,5,5,2,11.38,69717.38,4979.81,0,9,7,13,56717.38,8102.48,13000,2600,0,0,123
2023-08-09 00:00:00,Wednesday,15,108,4,0,0,0,2,8,4,1,12.2,102412.29,6827.49,0,2,7,20,89412.29,8941.23,13000,3250,0,0,123
2023-08-10 00:00:00,Thursday,10,113,3,0,0,0,2,8,0,0,8.13,82513.97,8251.4,0,4,7,18,82513.97,8251.4,0,0,0,0,123
2023-08-11 00:00:00,Friday,15,108,8,0,0,0,2,13,0,0,12.2,129064.82,8604.32,0,3,7,27,129064.82,8604.32,0,0,0,0,123
2023-08-12 00:00:00,Saturday,21,102,8,0,0,0,2,19,0,0,17.07,187988.55,8951.84,0,2,7,41,187988.55,8951.84,0,0,0,0,123
2023-08-13 00:00:00,Sunday,18,105,6,0,0,0,1,17,0,0,14.63,171548.73,9530.49,0,9,7,36,171548.73,9530.49,0,0,0,0,123
2023-08-14 00:00:00,Monday,12,111,6,0,0,0,1,11,0,0,9.76,113421.59,9451.8,0,12,7,22,113421.59,9451.8,0,0,0,0,123
2023-08-15 00:00:00,Tuesday,4,119,3,0,0,0,1,3,0,0,3.25,28819.91,7204.98,0,11,7,8,28819.91,7204.98,0,0,0,0,123
2023-08-16 00:00:00,Wednesday,4,119,2,0,0,0,1,1,1,1,3.25,35141.95,8785.49,0,3,7,3,14141.95,7070.98,21000,21000,0,0,123
2023-08-17 00:00:00,Thursday,9,114,6,0,0,0,1,6,1,1,7.32,77243.63,8582.63,0,1,7,14,56243.63,8034.8,21000,21000,0,0,123
2023-08-18 00:00:00,Friday,29,94,5,0,0,0,1,9,17,2,23.58,108029.33,3725.15,0,1,7,22,93743.63,9374.36,14285.7,840.34,0,0,123
2023-08-19 00:00:00,Saturday,11,112,2,0,0,0,1,8,1,1,8.94,89418.63,8128.97,0,4,7,18,89418.63,9935.4,0,0,0,0,123
2023-08-20 00:00:00,Sunday,10,113,1,0,0,0,1,1,6,2,8.13,91800,9180,0,7,7,6,15800,7900,76000,12666.67,0,0,123
2023-08-21 00:00:00,Monday,3,120,2,0,0,0,1,2,0,0,2.44,27294.49,9098.16,0,3,7,4,27294.49,9098.16,0,0,0,0,123
2023-08-22 00:00:00,Tuesday,9,114,3,0,0,0,1,3,4,1,7.32,54294.49,6032.72,0,1,7,8,41294.49,10323.62,13000,3250,0,0,123
2023-08-23 00:00:00,Wednesday,15,108,6,0,0,0,1,7,6,1,12.2,76921.59,5128.11,0,2,7,16,76921.59,9615.2,0,0,0,0,123
2023-08-24 00:00:00,Thursday,14,109,0,0,0,0,1,6,6,1,11.38,67226.68,4801.91,0,1,7,14,67226.68,9603.81,0,0,0,0,123
2023-08-25 00:00:00,Friday,9,114,6,0,0,0,1,8,0,0,7.32,83976.68,9330.74,0,5,7,17,83976.68,9330.74,0,0,0,0,123
2023-08-26 00:00:00,Saturday,11,112,7,0,0,0,1,10,0,0,8.94,108222.46,9838.41,0,5,7,21,108222.46,9838.41,0,0,0,0,123
2023-08-27 00:00:00,Sunday,10,113,2,0,0,0,1,9,0,0,8.13,93472.46,9347.25,0,3,7,20,93472.46,9347.25,0,0,0,0,123
2023-08-28 00:00:00,Monday,3,120,0,0,0,0,1,2,0,0,2.44,25125,8375,0,7,7,6,25125,8375,0,0,0,0,123
2023-08-29 00:00:00,Tuesday,8,115,2,0,0,0,1,1,5,1,6.5,89125,11140.63,0,2,7,4,13125,6562.5,76000,15200,0,0,123
2023-08-30 00:00:00,Wednesday,3,120,1,0,0,0,1,2,0,0,2.44,20625,6875,0,1,7,4,20625,6875,0,0,0,0,123
2023-08-31 00:00:00,Thursday,8,115,5,0,0,0,1,5,1,1,6.5,57841,7230.13,0,1,7,11,57841,9640.17,0,0,0,0,123
2023-09-01 00:00:00,Friday,28,95,12,0,0,0,3,13,10,2,22.76,180261.37,6437.91,0,1,7,31,173118.52,10819.91,7142.85,714.28,0,0,123
2023-09-02 00:00:00,Saturday,31,92,8,0,0,0,4,15,10,2,25.2,189254.87,6105,0,5,7,35,182112.02,9584.84,7142.85,714.28,0,0,123
2023-09-03 00:00:00,Sunday,8,115,2,0,0,0,3,3,1,1,6.5,63806.1,7975.76,0,16,7,12,63806.1,10634.35,0,0,0,0,123
2023-09-04 00:00:00,Monday,6,117,2,0,0,0,2,4,0,0,4.88,68465.1,11410.85,0,3,7,10,68465.1,11410.85,0,0,0,0,123
2023-09-05 00:00:00,Tuesday,6,117,2,0,0,0,2,4,0,0,4.88,80338,13389.67,0,2,7,10,80338,13389.67,0,0,0,0,123
2023-09-06 00:00:00,Wednesday,124,-1,12,0,0,0,0,6,108,10,100.81,81714.5,658.99,0,2,7,24,81714.5,13619.08,0,0,0,0,123
2023-09-07 00:00:00,Thursday,124,-1,3,0,0,0,0,5,108,11,100.81,75428.57,608.29,0,3,7,23,75428.57,15085.71,0,0,0,0,123
2023-09-08 00:00:00,Friday,124,-1,1,0,0,0,0,5,109,10,100.81,63979.41,515.96,0,2,7,22,63979.41,12795.88,0,0,0,0,123
2023-09-09 00:00:00,Saturday,124,-1,8,0,0,0,0,3,112,9,100.81,42928.57,346.2,0,11,7,18,42928.57,14309.52,0,0,0,0,123
